Sub,Cong,aPos,GroupCount,mean_aCorr
1,0,-67.5,24,0.5
1,0,-52.5,24,0.458333333333333
1,0,-37.5,24,0.5
1,0,-22.5,24,0.583333333333333
1,0,-7.5,23,1
1,0,7.5,24,1
1,0,22.5,24,0.708333333333333
1,0,37.5,24,0.333333333333333
1,0,52.5,24,0.125
1,0,67.5,24,0.291666666666667
1,1,-67.5,6,0
1,1,-52.5,6,0
1,1,-37.5,6,0.666666666666667
1,1,-22.5,5,1
1,1,-7.5,6,1
1,1,7.5,6,1
1,1,22.5,6,1
1,1,37.5,6,0.666666666666667
1,1,52.5,6,0.166666666666667
1,1,67.5,6,0
2,0,-67.5,64,0.265625
2,0,-52.5,64,0.484375
2,0,-37.5,64,0.71875
2,0,-22.5,64,0.8125
2,0,-7.5,64,0.859375
2,0,7.5,64,0.953125
2,0,22.5,64,0.828125
2,0,37.5,64,0.625
2,0,52.5,64,0.609375
2,0,67.5,64,0.4375
2,1,-67.5,16,0.4375
2,1,-52.5,16,0.5625
2,1,-37.5,16,0.6875
2,1,-22.5,16,1
2,1,-7.5,16,1
2,1,7.5,16,0.9375
2,1,22.5,16,0.9375
2,1,37.5,16,0.875
2,1,52.5,16,0.6875
2,1,67.5,16,0.75
3,0,-67.5,48,0.6875
3,0,-52.5,48,0.833333333333333
3,0,-37.5,48,0.9375
3,0,-22.5,48,0.9375
3,0,-7.5,48,0.9375
3,0,7.5,48,0.979166666666667
3,0,22.5,48,0.979166666666667
3,0,37.5,48,0.9375
3,0,52.5,48,0.854166666666667
3,0,67.5,48,0.25
3,1,-67.5,12,0.75
3,1,-52.5,12,0.75
3,1,-37.5,12,1
3,1,-22.5,12,1
3,1,-7.5,12,0.916666666666667
3,1,7.5,12,1
3,1,22.5,12,1
3,1,37.5,12,1
3,1,52.5,12,0.916666666666667
3,1,67.5,12,0.833333333333333
4,0,-67.5,64,0.125
4,0,-52.5,64,0.140625
4,0,-37.5,64,0.28125
4,0,-22.5,64,0.375
4,0,-7.5,64,0.859375
4,0,7.5,64,0.71875
4,0,22.5,64,0.5625
4,0,37.5,64,0.40625
4,0,52.5,64,0.234375
4,0,67.5,64,0.125
4,1,-67.5,16,0.0625
4,1,-52.5,16,0.375
4,1,-37.5,16,0.625
4,1,-22.5,16,0.8125
4,1,-7.5,16,0.8125
4,1,7.5,16,1
4,1,22.5,16,0.875
4,1,37.5,16,0.5
4,1,52.5,16,0.25
4,1,67.5,16,0.3125
5,0,-67.5,64,0.1875
5,0,-52.5,64,0.296875
5,0,-37.5,64,0.21875
5,0,-22.5,64,0.25
5,0,-7.5,64,0.359375
5,0,7.5,64,0.5625
5,0,22.5,64,0.34375
